T,T1,code,name,boards,theme,rank,fb,yizi,amt,amt_rank_layer,n_same_theme_tier,n_theme_ge2,first_seal_sec,seal_rank_theme,anchor_type,down_h,dead_h,is_anchor,cont,score,pts_rank,pts_seal_time,pts_seal_rank,pts_is_anchor,pts_yizi,pts_down_h,pts_anchor_type,pts_theme_compete,pts_amt_rank,score_rank,quintile
2026-04-15,2026-04-16,002297,博云新材,3,商业航天,3,3,1,1.43,2,1,1,-300,1,anchor_nat_yizi,3,6,1,1,97.5,7.5,0.0,14.71,8.82,23.53,5.88,10.59,17.65,8.82,1,1
2025-10-30,2025-10-31,002790,瑞尔特,3,福建,3,3,1,1.04,3,1,1,-300,1,anchor_nat_yizi,3,5,1,1,96.62,7.5,0.0,14.71,8.82,23.53,5.88,10.59,17.65,7.94,2,1
2026-05-14,2026-05-15,603007,花王股份,3,通信,3,4,1,2.68,3,1,1,-248,1,anchor_nat_yizi,3,6,1,0,96.62,7.5,0.0,14.71,8.82,23.53,5.88,10.59,17.65,7.94,3,1
2026-05-22,2026-05-25,600611,大众交通,3,芯片,3,11,1,3.58,3,1,3,-242,1,anchor_nat_yizi,3,4,1,0,96.62,7.5,0.0,14.71,8.82,23.53,5.88,10.59,17.65,7.94,4,1
2026-06-11,2026-06-12,600500,中化国际,3,通信,3,6,1,2.8,3,1,1,-266,1,anchor_nat_yizi,3,4,1,0,96.62,7.5,0.0,14.71,8.82,23.53,5.88,10.59,17.65,7.94,5,1
2026-06-24,2026-06-25,002674,兴业科技,4,芯片,1,28,1,0.55,3,1,3,-241,1,anchor_nat_yizi,4,5,1,1,96.47,8.82,0.0,14.71,8.82,23.53,4.41,10.59,17.65,7.94,6,1
2025-12-30,2025-12-31,002931,锋龙股份,5,机器人概念,1,12,1,0.04,2,1,7,-300,1,anchor_nat_yizi,5,8,1,1,96.18,8.82,0.0,14.71,8.82,23.53,3.24,10.59,17.65,8.82,7,1
2026-05-19,2026-05-20,603082,北自科技,4,机器人概念,1,13,1,2.64,1,1,1,1,1,anchor_nat_yizi,4,4,1,0,94.71,8.82,0.0,14.71,8.82,23.53,4.41,10.59,17.65,6.18,8,1
2025-12-04,2025-12-05,002300,太阳电缆,3,海峡两岸,6,1,1,1.42,2,1,1,-241,1,anchor_nat_yizi,3,6,1,1,93.97,3.97,0.0,14.71,8.82,23.53,5.88,10.59,17.65,8.82,9,1
2025-11-10,2025-11-11,002083,孚日股份,3,锂电池,1,7,1,1.56,4,1,2,-300,1,anchor_nat_yizi,3,9,1,1,93.53,8.82,0.0,14.71,8.82,23.53,5.88,10.59,17.65,3.53,10,1
