F,water_f,cap_f,near_u,n_pass,n_touch,n_seal,n_zha,seal_r,zha_r,pass_rate,cont_r
5,0.5,99.0,3.0,203,102,82,20,0.803921568627451,0.19607843137254902,0.6077844311377245,0.39901477832512317
5,1.0,99.0,3.0,199,101,81,20,0.801980198019802,0.19801980198019803,0.5958083832335329,0.4020100502512563
1,0.5,99.0,8.0,226,144,115,29,0.7986111111111112,0.2013888888888889,0.6766467065868264,0.49557522123893805
1,1.0,99.0,8.0,219,142,113,29,0.795774647887324,0.20422535211267606,0.655688622754491,0.502283105022831
1,0.5,99.0,7.0,221,140,111,29,0.7928571428571428,0.20714285714285716,0.6616766467065869,0.48868778280542985
1,0.5,99.0,3.0,212,135,107,28,0.7925925925925926,0.2074074074074074,0.6347305389221557,0.49056603773584906
2,0.5,99.0,8.0,241,144,114,30,0.7916666666666666,0.20833333333333334,0.7215568862275449,0.4605809128630705
3,0.5,99.0,8.0,252,144,114,30,0.7916666666666666,0.20833333333333334,0.7544910179640718,0.44047619047619047
1,0.5,99.0,6.0,220,139,110,29,0.7913669064748201,0.20863309352517986,0.6586826347305389,0.4863636363636364
5,0.0,99.0,3.0,215,105,83,22,0.7904761904761904,0.20952380952380953,0.6437125748502994,0.3813953488372093
2,1.0,99.0,8.0,235,143,113,30,0.7902097902097902,0.2097902097902098,0.7035928143712575,0.46808510638297873
3,1.0,99.0,8.0,246,143,113,30,0.7902097902097902,0.2097902097902098,0.7365269461077845,0.44715447154471544
3,0.5,99.0,3.0,215,119,94,25,0.7899159663865546,0.21008403361344538,0.6437125748502994,0.42790697674418604
1,0.5,99.0,5.0,218,138,109,29,0.7898550724637681,0.21014492753623187,0.6526946107784432,0.48623853211009177
1,1.0,99.0,7.0,214,138,109,29,0.7898550724637681,0.21014492753623187,0.6407185628742516,0.4953271028037383
1,1.0,99.0,3.0,205,133,105,28,0.7894736842105263,0.21052631578947367,0.6137724550898204,0.4975609756097561
1,1.0,99.0,6.0,213,137,108,29,0.7883211678832117,0.2116788321167883,0.6377245508982036,0.49295774647887325
3,1.0,99.0,3.0,209,118,93,25,0.788135593220339,0.211864406779661,0.625748502994012,0.4354066985645933
1,0.0,99.0,8.0,249,151,119,32,0.7880794701986755,0.2119205298013245,0.7455089820359282,0.46586345381526106
1,1.0,99.0,5.0,211,136,107,29,0.7867647058823529,0.21323529411764705,0.6317365269461078,0.4928909952606635
5,0.5,99.0,8.0,253,136,107,29,0.7867647058823529,0.21323529411764705,0.7574850299401198,0.4150197628458498
2,0.5,99.0,3.0,215,126,99,27,0.7857142857142857,0.21428571428571427,0.6437125748502994,0.4511627906976744
5,1.0,99.0,8.0,249,135,106,29,0.7851851851851852,0.21481481481481482,0.7455089820359282,0.41767068273092367
2,0.5,99.0,7.0,235,139,109,30,0.7841726618705036,0.2158273381294964,0.7035928143712575,0.451063829787234
4,0.5,99.0,8.0,253,139,109,30,0.7841726618705036,0.2158273381294964,0.7574850299401198,0.4189723320158103
