T,T1,code,name,theme,boards,rank,fb,yizi,amt,is_anchor,down_h,anchor_type,seal_rank_theme,first_seal_sec,cont,score,prob
2025-11-28,2025-12-01,002632,道明光学,消费电子,2,25,0,1,1.34,0,2,anchor_nat_yizi,1,-300,1,80.12,0.8012
2026-03-05,2026-03-06,605268,王力安防,地产链,2,26,0,1,0.47,0,2,anchor_nat_yizi,1,-265,1,80.09,0.8009
2026-02-12,2026-02-13,600589,大位科技,算力,4,1,11,1,3.45,0,4,anchor_nat_yizi,1,-247,0,80.07,0.8007
2026-05-26,2026-05-27,600162,香江控股,地产链,2,17,0,1,0.62,0,2,anchor_nat_yizi,1,-249,1,80.07,0.8007
2026-06-23,2026-06-24,002674,兴业科技,芯片,3,2,9,1,0.19,0,3,anchor_nat_yizi,1,-300,1,79.47,0.7947
2026-02-02,2026-02-03,603103,横店影视,文化传媒,3,14,0,1,0.75,0,3,anchor_nat_yizi,1,-255,1,79.43,0.7943
2025-12-16,2025-12-17,600865,百大集团,零售,4,2,6,1,1.23,0,4,anchor_nat_yizi,1,-260,1,78.77,0.7877
2026-06-03,2026-06-04,603330,天洋新材,通信,3,3,5,1,1.01,1,3,anchor_nat_yizi,2,-253,1,68.33,0.6833
2026-03-03,2026-03-04,603318,水发燃气,天然气,3,1,22,1,1.35,1,3,anchor_nat_yizi,1,-252,1,68.32,0.6832
2025-11-28,2025-12-01,002792,通宇通讯,商业航天,2,1,11,1,1.74,1,2,anchor_nat_yizi,1,-300,1,67.52,0.6752
2025-12-01,2025-12-02,002792,通宇通讯,商业航天,3,6,1,1,0.81,1,3,anchor_nat_yizi,4,-300,1,67.52,0.6752
2026-02-10,2026-02-11,002455,百川股份,化工,3,4,2,1,1.23,1,3,anchor_nat_yizi,1,-300,1,67.52,0.6752
2026-04-22,2026-04-23,002081,金螳螂,商业航天,4,17,0,1,3.03,1,4,anchor_nat_yizi,1,-300,1,67.52,0.6752
2026-05-26,2026-05-27,002388,新亚制程,华为概念,2,17,0,1,0.79,1,2,anchor_nat_yizi,1,-300,0,67.52,0.6752
2026-07-29,2026-07-30,003032,传智教育,AI应用,3,6,4,1,0.77,1,3,anchor_nat_yizi,1,-300,1,67.52,0.6752
2026-05-06,2026-05-07,603399,永杉锂业,锂电池,4,6,3,1,1.63,1,4,anchor_nat_yizi,1,-266,0,67.47,0.6747
2026-06-02,2026-06-03,603890,春秋电子,AI PC,3,16,0,1,1.15,1,3,anchor_nat_yizi,1,-265,0,67.47,0.6747
2026-06-11,2026-06-12,600500,中化国际,通信,3,3,6,1,2.8,1,3,anchor_nat_yizi,1,-266,0,67.47,0.6747
2025-10-14,2025-10-15,600078,澄星股份,固态电池,4,21,0,1,0.73,1,4,anchor_nat_yizi,1,-259,0,67.46,0.6746
2025-10-10,2025-10-13,603011,合锻智能,核电,3,7,2,1,1.3,1,3,anchor_nat_yizi,2,-250,1,67.45,0.6745
2026-06-17,2026-06-18,601636,旗滨集团,芯片,3,1,17,1,5.64,1,3,anchor_nat_yizi,1,-252,0,67.45,0.6745
2026-05-22,2026-05-25,600611,大众交通,芯片,3,3,11,1,3.58,1,3,anchor_nat_yizi,1,-242,0,67.43,0.6743
2026-05-19,2026-05-20,603082,北自科技,机器人概念,4,1,13,1,2.64,1,4,anchor_nat_yizi,1,1,0,67.09,0.6709
2026-07-03,2026-07-06,600793,宜宾纸业,造纸,3,29,0,1,0.59,1,3,anchor_nat_yizi,1,1,1,67.09,0.6709
2025-10-30,2025-10-31,002790,瑞尔特,福建,3,3,3,1,1.04,1,3,anchor_nat_yizi,1,-300,1,66.63,0.6663
2025-10-31,2025-11-03,002790,瑞尔特,福建,4,6,2,1,1.0,1,4,anchor_nat_yizi,1,-300,0,66.63,0.6663
2026-03-19,2026-03-20,000020,深华发Ａ,地产链,4,11,0,1,0.69,1,4,anchor_nat_yizi,1,-300,1,66.63,0.6663
2026-05-12,2026-05-13,002918,蒙娜丽莎,芯片,3,1,9,1,0.56,1,3,anchor_nat_yizi,1,-300,1,66.63,0.6663
2026-06-23,2026-06-24,002167,东方锆业,非金属材料,3,9,2,1,19.13,1,3,anchor_nat_yizi,1,-300,1,66.63,0.6663
2026-07-08,2026-07-09,001229,魅视科技,物理AI,2,20,0,1,0.48,1,2,anchor_nat_yizi,1,-300,0,66.63,0.6663
2026-07-17,2026-07-20,002677,浙江美大,实控人变更,3,13,0,1,0.55,1,3,anchor_nat_yizi,1,-300,0,66.63,0.6663
2026-02-02,2026-02-03,603172,万丰股份,化工,3,14,0,1,1.49,1,3,anchor_nat_yizi,1,-265,1,66.58,0.6658
2026-02-24,2026-02-25,605033,美邦股份,农业,4,25,0,1,0.94,1,4,anchor_nat_yizi,1,-267,0,66.58,0.6658
2025-11-27,2025-11-28,600828,茂业商业,零售,3,18,0,1,0.41,1,3,anchor_nat_yizi,1,-251,1,66.56,0.6656
2025-11-26,2025-11-27,600734,实达集团,人工智能,5,2,5,1,2.71,1,5,anchor_nat_yizi,2,-244,0,66.55,0.6655
2026-05-08,2026-05-11,603045,福达合金,算力,4,3,6,1,1.04,1,4,anchor_nat_yizi,3,-245,1,66.55,0.6655
2026-06-01,2026-06-02,603890,春秋电子,AI PC,2,5,7,1,1.18,1,2,anchor_nat_yizi,1,-244,1,66.55,0.6655
2026-01-19,2026-01-20,002931,锋龙股份,机器人概念,14,2,10,1,2.18,1,14,anchor_nat_yizi,1,-241,1,66.54,0.6654
2026-04-24,2026-04-27,603318,水发燃气,燃气轮机,3,19,0,1,1.84,1,3,anchor_nat_yizi,1,-241,1,66.54,0.6654
2026-06-24,2026-06-25,002674,兴业科技,芯片,4,1,28,1,0.55,1,4,anchor_nat_yizi,1,-241,1,66.54,0.6654
2025-12-16,2025-12-17,000890,法尔胜,通信,4,10,0,1,1.58,1,4,anchor_nat_yizi,1,-300,0,65.73,0.6573
2025-12-19,2025-12-22,002788,鹭燕医药,医药,3,14,1,1,0.49,1,3,anchor_nat_yizi,1,-300,1,65.73,0.6573
2026-04-15,2026-04-16,002297,博云新材,商业航天,3,3,3,1,1.43,1,3,anchor_nat_yizi,1,-300,1,65.73,0.6573
2025-12-10,2025-12-11,600693,东百集团,零售,4,5,3,1,0.6,1,4,anchor_nat_yizi,2,-264,1,65.68,0.6568
2026-04-21,2026-04-22,600961,株冶集团,一季报增长,4,10,1,1,3.17,1,4,anchor_nat_yizi,1,-263,0,65.67,0.6567
2026-05-14,2026-05-15,603007,花王股份,通信,3,3,4,1,2.68,1,3,anchor_nat_yizi,1,-248,0,65.65,0.6565
2025-12-04,2025-12-05,002300,太阳电缆,海峡两岸,3,6,1,1,1.42,1,3,anchor_nat_yizi,1,-241,1,65.64,0.6564
2025-10-29,2025-10-30,000592,平潭发展,福建,5,18,0,1,1.29,1,5,anchor_nat_yizi,1,-300,0,64.82,0.6482
2025-11-21,2025-11-24,000017,深中华A,黄金,3,12,0,1,0.94,1,3,anchor_nat_yizi,1,-300,0,64.82,0.6482
2026-04-08,2026-04-09,000586,汇源通信,通信,4,2,18,1,0.87,1,4,anchor_nat_yizi,1,-300,1,64.82,0.6482
2026-04-20,2026-04-21,600961,株冶集团,一季报增长,3,3,4,1,1.24,1,3,anchor_nat_yizi,1,-258,1,64.76,0.6476
2025-10-24,2025-10-27,000620,盈新发展,并购重组,5,18,0,1,0.36,1,5,anchor_nat_yizi,1,-300,1,63.89,0.6389
2025-11-14,2025-11-17,002083,孚日股份,锂电池,7,3,6,1,0.74,1,7,anchor_nat_yizi,1,-300,1,63.89,0.6389
