T,T1,code,name,boards_T,theme,fb,rank_T,n_themes_T,fb_T1,rank_T1,open_pct_T1,yizi,amount_yi,touched,sealed,zhaban,dead_h,down_h,group_size,group_key
2025-10-10,2025-10-13,603011,合锻智能,3,核电,2,7,24,0,18,5.13,True,1.3,True,True,False,4,3,1,2025-10-10|3板|核电
2025-10-14,2025-10-15,000969,安泰科技,4,稀土永磁,0,21,20,0,23,0.71,False,13.1,False,False,False,4,4,1,2025-10-14|4板|稀土永磁
2025-10-14,2025-10-15,600078,澄星股份,4,固态电池,0,21,20,1,15,9.07,True,0.73,True,False,True,4,4,1,2025-10-14|4板|固态电池
2025-10-15,2025-10-16,000626,远大控股,2,食品饮料,0,23,22,0,17,10.05,False,3.03,True,True,False,4,2,1,2025-10-15|2板|食品饮料
2025-10-15,2025-10-16,002942,新农股份,2,化工,0,23,22,1,7,0.04,False,3.09,True,True,False,4,2,1,2025-10-15|2板|化工
2025-10-15,2025-10-16,600403,大有能源,2,煤炭,0,23,22,2,5,1.65,False,4.22,True,True,False,4,2,1,2025-10-15|2板|煤炭
2025-10-15,2025-10-16,600617,国新能源,2,天然气,0,23,22,0,17,7.57,False,2.4,False,False,False,4,2,1,2025-10-15|2板|天然气
2025-10-15,2025-10-16,600819,耀皮玻璃,2,光伏,2,7,22,0,17,1.77,False,2.7,False,False,False,4,2,1,2025-10-15|2板|光伏
2025-10-16,2025-10-17,000626,远大控股,3,食品饮料,0,17,16,0,18,5.3,False,5.37,True,True,False,3,3,1,2025-10-16|3板|食品饮料
2025-10-16,2025-10-17,600403,大有能源,3,煤炭,2,5,16,0,18,8.33,False,8.7,True,True,False,3,3,1,2025-10-16|3板|煤炭
2025-10-24,2025-10-27,000620,盈新发展,5,并购重组,0,18,17,0,18,9.85,True,0.36,True,True,False,8,5,1,2025-10-24|5板|并购重组
2025-10-29,2025-10-30,000592,平潭发展,5,福建,0,18,17,3,3,0.33,True,1.29,True,False,True,7,5,1,2025-10-29|5板|福建
2025-10-30,2025-10-31,002790,瑞尔特,3,福建,3,3,12,2,6,9.97,True,1.04,True,True,False,5,3,1,2025-10-30|3板|福建
2025-10-30,2025-10-31,603122,合富中国,3,医药零售,0,13,12,0,16,7.42,False,7.01,True,True,False,5,3,1,2025-10-30|3板|医药零售
2025-10-31,2025-11-03,603122,合富中国,4,医药,7,2,15,1,17,10.01,False,4.79,True,True,False,5,4,1,2025-10-31|4板|医药
2025-11-10,2025-11-11,002083,孚日股份,3,锂电池,7,1,24,5,3,10.39,True,1.56,True,True,False,9,3,1,2025-11-10|3板|锂电池
2025-11-10,2025-11-11,300437,清水源,3,化工,3,6,24,2,7,-1.53,False,13.46,False,False,False,9,3,2,2025-11-10|3板|化工
2025-11-10,2025-11-11,600939,重庆建工,3,重庆市,0,25,24,0,20,2.97,False,4.5,True,False,True,9,3,1,2025-11-10|3板|重庆市
