T,T1,code,name,boards_T,theme,amount_yi,yizi,gonggao,natural,open_pct_T1,open_T1,high_T1,low_T1,close_T1,prev_close_T1,cont_T1,in_zt_T1,dead_h,dead_names,down_h,anchor_type,anchor_name
2025-10-10,2025-10-13,603011,合锻智能,3,核电,1.3,True,False,True,5.13,25.0,26.16,24.6,26.16,23.78,True,True,4,天际股份4,3,anchor_nat_yizi,合锻智能
2025-10-14,2025-10-15,000969,安泰科技,4,稀土永磁,13.1,False,False,True,0.71,19.8,20.53,18.51,19.77,19.66,False,False,4,合锻智能4,4,anchor_nat_yizi,澄星股份
2025-10-14,2025-10-15,600078,澄星股份,4,固态电池,0.73,True,False,True,9.07,10.82,10.91,8.93,8.96,9.92,False,False,4,合锻智能4,4,anchor_nat_yizi,澄星股份
2025-10-15,2025-10-16,000626,远大控股,2,食品饮料,3.03,False,False,True,10.05,8.87,8.87,8.0,8.87,8.06,True,True,4,安泰科技4、澄星股份4,2,anchor_reorg,亚太药业
2025-10-15,2025-10-16,002370,亚太药业,2,实控人变更,0.64,True,True,False,10.06,7.55,7.55,7.55,7.55,6.86,True,True,4,安泰科技4、澄星股份4,2,anchor_reorg,亚太药业
2025-10-15,2025-10-16,002942,新农股份,2,化工,3.09,False,False,True,0.04,24.06,26.46,24.06,26.46,24.05,True,True,4,安泰科技4、澄星股份4,2,anchor_reorg,亚太药业
2025-10-15,2025-10-16,600403,大有能源,2,煤炭,4.22,False,False,True,1.65,5.54,6.0,5.44,6.0,5.45,True,True,4,安泰科技4、澄星股份4,2,anchor_reorg,亚太药业
2025-10-15,2025-10-16,600617,国新能源,2,天然气,2.4,False,False,True,7.57,3.98,4.0,3.51,3.64,3.7,False,False,4,安泰科技4、澄星股份4,2,anchor_reorg,亚太药业
2025-10-15,2025-10-16,600819,耀皮玻璃,2,光伏,2.7,False,False,True,1.77,9.2,9.29,8.3,8.82,9.04,False,False,4,安泰科技4、澄星股份4,2,anchor_reorg,亚太药业
2025-10-16,2025-10-17,000626,远大控股,3,食品饮料,5.37,False,False,True,5.3,9.34,9.76,9.34,9.76,8.87,True,True,3,国光连锁3,3,anchor_reorg,亚太药业
2025-10-16,2025-10-17,002370,亚太药业,3,实控人变更,1.4,True,True,False,0.0,7.55,8.31,7.13,7.75,7.55,False,False,3,国光连锁3,3,anchor_reorg,亚太药业
2025-10-16,2025-10-17,002942,新农股份,3,化工,4.8,False,False,True,,,,,,,False,False,3,国光连锁3,3,anchor_reorg,亚太药业
2025-10-16,2025-10-17,600403,大有能源,3,煤炭,8.7,False,False,True,8.33,6.5,6.6,6.41,6.6,6.0,True,True,3,国光连锁3,3,anchor_reorg,亚太药业
2025-10-24,2025-10-27,000620,盈新发展,5,并购重组,0.36,True,False,True,9.85,2.9,2.9,2.9,2.9,2.64,True,True,8,大有能源8,5,anchor_nat_yizi,盈新发展
2025-10-29,2025-10-30,000592,平潭发展,5,福建,1.29,True,False,True,0.33,6.06,6.64,5.89,6.44,6.04,False,False,7,盈新发展7,5,anchor_nat_yizi,平潭发展
2025-10-30,2025-10-31,000593,德龙汇能,3,股权转让,5.44,False,True,False,-5.12,10.0,10.16,9.49,9.49,10.54,False,False,5,平潭发展5,3,anchor_nat_yizi,瑞尔特
2025-10-30,2025-10-31,002790,瑞尔特,3,福建,1.04,True,False,True,9.97,12.02,12.02,12.02,12.02,10.93,True,True,5,平潭发展5,3,anchor_nat_yizi,瑞尔特
2025-10-30,2025-10-31,603122,合富中国,3,医药零售,7.01,False,False,True,7.42,9.56,9.79,9.3,9.79,8.9,True,True,5,平潭发展5,3,anchor_nat_yizi,瑞尔特
2025-10-31,2025-11-03,002790,瑞尔特,4,福建,1.0,True,False,True,,,,,,,False,False,5,亚士创能5,4,anchor_nat_yizi,瑞尔特
2025-10-31,2025-11-03,603122,合富中国,4,医药,4.79,False,False,True,10.01,10.77,10.77,10.51,10.77,9.79,True,True,5,亚士创能5,4,anchor_nat_yizi,瑞尔特
2025-11-10,2025-11-11,002083,孚日股份,3,锂电池,1.56,True,False,True,10.39,8.393,8.393,7.893,8.393,7.603,True,True,9,合富中国9,3,anchor_nat_yizi,孚日股份
2025-11-10,2025-11-11,300437,清水源,3,化工,13.46,False,False,True,-1.53,17.32,20.71,16.5,19.0,17.59,False,False,9,合富中国9,3,anchor_nat_yizi,孚日股份
2025-11-10,2025-11-11,600078,澄星股份,3,化工,12.57,False,False,True,-2.36,12.82,13.88,12.14,13.4,13.13,False,False,9,合富中国9,3,anchor_nat_yizi,孚日股份
2025-11-10,2025-11-11,600939,重庆建工,3,重庆市,4.5,False,False,True,2.97,4.5,4.81,4.21,4.35,4.37,False,False,9,合富中国9,3,anchor_nat_yizi,孚日股份
2025-11-14,2025-11-17,002083,孚日股份,7,锂电池,0.74,True,False,True,10.29,12.433,12.433,12.433,12.433,11.273,True,True,8,摩恩电气8,7,anchor_nat_yizi,孚日股份
2025-11-18,2025-11-19,003041,真爱美家,5,实控人变更,1.83,False,True,False,9.99,54.59,54.59,51.0,54.59,49.63,True,True,8,孚日股份8,5,anchor_nat_yizi,九牧王
2025-11-18,2025-11-19,601566,九牧王,5,海峡两岸,3.03,True,False,True,4.01,15.83,16.74,14.41,16.74,15.22,True,True,8,孚日股份8,5,anchor_nat_yizi,九牧王
2025-11-21,2025-11-24,000017,深中华A,3,黄金,0.94,True,False,True,-0.22,9.21,9.21,8.31,8.31,9.23,False,False,7,九牧王7,3,anchor_nat_yizi,深中华A
2025-11-21,2025-11-24,000859,国风新材,3,芯片,26.05,False,False,True,0.92,8.76,9.55,8.62,9.55,8.68,True,True,7,九牧王7,3,anchor_nat_yizi,深中华A
2025-11-21,2025-11-24,603216,梦天家居,3,地产链,5.64,False,False,True,1.34,21.18,22.99,19.78,22.99,20.9,True,True,7,九牧王7,3,anchor_nat_yizi,深中华A
2025-11-25,2025-11-26,000070,特发信息,3,算力,8.6,False,False,True,7.91,13.65,13.92,12.87,13.92,12.65,True,True,7,中水渔业7,3,anchor_nat_yizi,新华都
2025-11-25,2025-11-26,000892,欢瑞世纪,3,人工智能,6.82,False,False,True,-0.9,8.78,9.75,8.58,9.75,8.86,True,True,7,中水渔业7,3,anchor_nat_yizi,新华都
2025-11-25,2025-11-26,001296,长江材料,3,3D打印,2.58,False,False,True,-4.3,29.163,33.563,27.383,27.703,30.473,False,False,7,中水渔业7,3,anchor_nat_yizi,新华都
2025-11-25,2025-11-26,002264,新华都,3,人工智能,0.38,True,False,True,9.99,10.79,10.79,10.79,10.79,9.81,True,True,7,中水渔业7,3,anchor_nat_yizi,新华都
2025-11-25,2025-11-26,688227,品高股份,3,芯片,6.94,False,False,True,9.1,77.0,84.37,73.28,83.98,70.58,False,False,7,中水渔业7,3,anchor_nat_yizi,新华都
2025-11-26,2025-11-27,600734,实达集团,5,人工智能,2.71,True,False,True,-7.48,5.69,5.99,5.54,5.54,6.15,False,False,5,梦天家居5,5,anchor_nat_yizi,实达集团
2025-11-27,2025-11-28,000510,新金路,3,有色金属,8.19,False,False,True,-3.42,8.2,9.28,8.07,8.97,8.49,False,False,5,实达集团5,3,anchor_nat_yizi,茂业商业
2025-11-27,2025-11-28,600828,茂业商业,3,零售,0.41,True,False,True,10.02,6.15,6.15,5.93,6.15,5.59,True,True,5,实达集团5,3,anchor_nat_yizi,茂业商业
2025-11-28,2025-12-01,002632,道明光学,2,消费电子,1.34,True,False,True,0.0,12.44,13.68,12.1,13.68,12.44,True,True,4,广济药业4,2,anchor_nat_yizi,通宇通讯
2025-11-28,2025-12-01,002792,通宇通讯,2,商业航天,1.74,True,False,True,10.01,26.16,26.16,26.16,26.16,23.78,True,True,4,广济药业4,2,anchor_nat_yizi,通宇通讯
2025-11-28,2025-12-01,603353,和顺石油,2,并购重组,2.08,False,True,False,-1.03,32.69,35.19,32.69,33.27,33.03,False,False,4,广济药业4,2,anchor_nat_yizi,通宇通讯
2025-11-28,2025-12-01,603778,国晟科技,2,锂电池,12.8,False,False,True,2.33,11.86,12.75,11.82,12.75,11.59,True,True,4,广济药业4,2,anchor_nat_yizi,通宇通讯
2025-11-28,2025-12-01,603933,睿能科技,2,海峡两岸,7.58,False,False,True,7.91,24.84,25.32,24.12,25.32,23.02,True,True,4,广济药业4,2,anchor_nat_yizi,通宇通讯
2025-12-01,2025-12-02,002632,道明光学,3,消费电子,11.17,False,False,True,10.01,15.05,15.05,15.05,15.05,13.68,True,True,4,茂业商业4,3,anchor_nat_yizi,通宇通讯
2025-12-01,2025-12-02,002792,通宇通讯,3,商业航天,0.81,True,False,True,10.02,28.78,28.78,28.78,28.78,26.16,True,True,4,茂业商业4,3,anchor_nat_yizi,通宇通讯
2025-12-01,2025-12-02,603778,国晟科技,3,锂电池,21.52,False,False,True,1.96,13.0,13.53,11.73,13.11,12.75,False,False,4,茂业商业4,3,anchor_nat_yizi,通宇通讯
2025-12-01,2025-12-02,603933,睿能科技,3,存储,3.09,False,False,True,3.99,26.33,27.85,24.76,27.85,25.32,True,True,4,茂业商业4,3,anchor_nat_yizi,通宇通讯
2025-12-04,2025-12-05,002300,太阳电缆,3,海峡两岸,1.42,True,False,True,-0.96,9.33,10.36,8.97,10.36,9.42,True,True,6,海王生物6、海欣食品6,3,anchor_nat_yizi,太阳电缆
2025-12-04,2025-12-05,603696,安记食品,3,食品饮料,8.17,False,False,True,-2.03,17.34,19.47,17.34,19.47,17.7,True,True,6,海王生物6、海欣食品6,3,anchor_nat_yizi,太阳电缆
2025-12-10,2025-12-11,000905,厦门港务,4,海峡两岸,22.89,False,False,True,2.7,16.33,16.93,14.79,15.13,15.9,False,False,6,安记食品6,4,anchor_nat_yizi,东百集团
2025-12-10,2025-12-11,600693,东百集团,4,零售,0.6,True,False,True,5.31,14.28,14.92,13.53,14.92,13.56,True,True,6,安记食品6,4,anchor_nat_yizi,东百集团
2025-12-11,2025-12-12,002235,安妮股份,4,实控人变更,15.14,False,True,False,-4.26,13.02,14.34,12.68,12.85,13.6,False,False,6,龙洲股份6,4,anchor_reorg,安妮股份
2025-12-11,2025-12-12,603601,再升科技,4,商业航天,6.78,False,False,True,4.44,8.0,8.43,7.85,8.43,7.66,True,True,6,龙洲股份6,4,anchor_reorg,安妮股份
2025-12-12,2025-12-15,000890,法尔胜,2,通信,3.18,False,False,True,10.05,6.46,6.46,6.46,6.46,5.87,True,True,5,东百集团5,2,anchor_nat_yizi,中利集团
