date,code,name,kpl_boards,ths_boards,board_type
2025-10-09,002759,天际股份,4,3,换手板
2025-11-14,600829,人民同泰,5,4,T字板
2025-11-14,600408,安泰集团,4,3,换手板
2026-01-14,301378,通达海,1,3,换手板
2026-01-23,002931,锋龙股份,18,17,T字板
2026-01-23,002342,巨力索具,3,2,换手板
2026-01-23,001316,润贝航科,2,1,换手板
2026-01-23,002149,西部材料,2,1,换手板
2026-01-23,002471,中超控股,2,1,一字板
2026-01-23,002865,钧达股份,2,1,换手板
2026-01-23,002943,宇晶股份,2,1,一字板
2026-01-23,001203,大中矿业,1,2,换手板
2026-04-20,603268,松发股份,3,1,换手板
2026-06-18,300522,世名科技,1,2,换手板
2026-06-22,300522,世名科技,2,3,换手板
2026-07-02,603559,中通国脉,2,1,换手板
2026-07-03,603559,中通国脉,3,2,换手板
