event,outcome,lookahead_sel,n,wins,rate,n_sel,h1_n,h1_w,h1,h2_n,h2_w,h2,claim,desc
ALL_non_yizi_t,zt_3d,False,2225,915,0.4112,2225,1139,494,0.4337,1086,421,0.3877,False,"in zt_pool t+1/t+2/t+3 (membership, not a fill)"
ALL_non_yizi_t,hold_then_zt3,False,2225,915,0.4112,2225,1139,494,0.4337,1086,421,0.3877,False,"non-yizi t AND zt_3d (entry at t, membership win)"
ALL_non_yizi_t,cons_not_lose,False,2225,789,0.3546,2225,1139,433,0.3802,1086,356,0.3278,False,zt_next OR (zha and change_rate>0); absent=loss
ALL_non_yizi_t,print_not_lose,False,868,789,0.9090,2225,477,433,0.9078,391,356,0.9105,True,among zt-or-zha prints only: not lose vs t close
ALL_non_yizi_t,hold_close,False,2218,1200,0.5410,2225,1135,592,0.5216,1083,608,0.5614,False,"buy t close, t+1 close > t close (needs bar)"
ALL_non_yizi_t,hold_not_lose,False,2218,1220,0.5500,2225,1135,597,0.5260,1083,623,0.5753,False,"buy t close, t+1 close >= t close"
ALL_non_yizi_t,hold_touch3,False,2220,1122,0.5054,2225,1135,585,0.5154,1085,537,0.4949,False,"buy t close, any of t+1..t+3 high touches limit"
ALL_non_yizi_t,open_follow,False,2142,1008,0.4706,2225,1084,492,0.4539,1058,516,0.4877,False,"buy t+1 open if not yizi-open, t+1 close > open"
ALL_non_yizi_t,open_follow_flat,False,2142,1131,0.5280,2225,1084,565,0.5212,1058,566,0.5350,False,"buy t+1 open if not yizi-open, close >= open"
ALL_non_yizi_t,open_then_zt3,False,2142,839,0.3917,2225,1084,443,0.4087,1058,396,0.3743,False,"buy t+1 open if not yizi-open, then zt within 3d"
ALL_non_yizi_t,touch3,False,2142,1051,0.4907,2225,1084,538,0.4963,1058,513,0.4849,False,"buy t+1 open if not yizi-open, 3d high touches limit"
ALL_non_yizi_t,tradable_zt,False,2225,2225,1.0000,2225,1139,1139,1.0000,1086,1086,1.0000,True,"next-day tradable zt (old ceiling, baseline only)"
ALL_non_yizi_t,hold_3d,False,2185,1044,0.4778,2225,1126,500,0.4440,1059,544,0.5137,False,"buy t close, t+3 close > t close"
ALL_non_yizi_t,open_3d,False,2110,954,0.4521,2225,1077,451,0.4188,1033,503,0.4869,False,"buy t+1 open if not yizi-open, t+3 close > open"
ALL_non_yizi_t,maxclose3,False,2220,1477,0.6653,2225,1135,726,0.6396,1085,751,0.6922,False,"buy t close, max(t+1..t+3 close) > t close"
