filters,outcome,n,wins,rate,h1_n,h1_w,h1,h2_n,h2_w,h2,claim
ge5&absent,maxc3,35,29,0.8286,25,20,0.8000,10,9,0.9000,False
ge4&strong&tn5,maxc3,46,38,0.8261,28,23,0.8214,18,15,0.8333,False
ge5&strong&tn5,hold_touch3,22,18,0.8182,13,11,0.8462,9,7,0.7778,False
ge5&strong&tn5,maxc3,22,18,0.8182,13,10,0.7692,9,8,0.8889,False
ge3&strong&tn5,maxc3,78,63,0.8077,40,30,0.7500,38,33,0.8684,False
ge5&strong&tn5,touch3,20,16,0.8000,12,10,0.8333,8,6,0.7500,False
ge5&strong,maxc3,33,26,0.7879,20,14,0.7000,13,12,0.9231,False
eq3&tn8,maxc3,115,90,0.7826,56,40,0.7143,59,50,0.8475,False
ge4&strong&tn5,hold_touch3,46,36,0.7826,28,22,0.7857,18,14,0.7778,False
ge4&strong&tn5,hold_close,46,36,0.7826,28,23,0.8214,18,13,0.7222,False
ge4&strong&tn5,hold_flat,46,36,0.7826,28,23,0.8214,18,13,0.7222,False
ge5&strong&tn5,hold_close,22,17,0.7727,13,10,0.7692,9,7,0.7778,False
ge5&strong&tn5,hold_flat,22,17,0.7727,13,10,0.7692,9,7,0.7778,False
ge5&strong&tn5,zt3,22,17,0.7727,13,10,0.7692,9,7,0.7778,False
ge3&tn8,maxc3,212,162,0.7642,112,78,0.6964,100,84,0.8400,False
ge5&strong,hold_touch3,33,25,0.7576,20,14,0.7000,13,11,0.8462,False
ge4&strong&tn5,touch3,41,31,0.7561,26,20,0.7692,15,11,0.7333,False
ge5&strong&tn5,open_zt3,20,15,0.7500,12,9,0.7500,8,6,0.7500,False
tn8&newh,maxc3,71,53,0.7465,21,11,0.5238,50,42,0.8400,False
mid&tn8&intact,maxc3,397,296,0.7456,196,139,0.7092,201,157,0.7811,False
tn8&intact,maxc3,462,344,0.7446,229,161,0.7031,233,183,0.7854,False
ge3&strong&tn5,hold_touch3,78,58,0.7436,40,29,0.7250,38,29,0.7632,False
ge3&strong&tn5,hold_close,78,58,0.7436,40,30,0.7500,38,28,0.7368,False
ge3&strong&tn5,hold_flat,78,58,0.7436,40,30,0.7500,38,28,0.7368,False
ge4&tn8,maxc3,97,72,0.7423,56,38,0.6786,41,34,0.8293,False
strong&tn8,maxc3,123,91,0.7398,75,54,0.7200,48,37,0.7708,False
ge4&strong&tn5,zt3,46,34,0.7391,28,20,0.7143,18,14,0.7778,False
early&tn8,maxc3,521,385,0.7390,259,181,0.6988,262,204,0.7786,False
strong&tn5,maxc3,186,137,0.7366,109,78,0.7156,77,59,0.7662,False
ge5&strong,touch3,30,22,0.7333,18,12,0.6667,12,10,0.8333,False
strong&newh,maxc3,41,30,0.7317,17,11,0.6471,24,19,0.7917,False
ge4&early&strong,hold_touch3,78,57,0.7308,53,37,0.6981,25,20,0.8000,False
ge4&early&strong,maxc3,78,57,0.7308,53,38,0.7170,25,19,0.7600,False
eq3&newh,maxc3,59,43,0.7288,12,8,0.6667,47,35,0.7447,False
ge4&strong,hold_touch3,81,59,0.7284,56,39,0.6964,25,20,0.8000,False
ge4&strong,maxc3,81,59,0.7284,56,40,0.7143,25,19,0.7600,False
ge5&strong,hold_flat,33,24,0.7273,20,14,0.7000,13,10,0.7692,False
ge5&strong,zt3,33,24,0.7273,20,13,0.6500,13,11,0.8462,False
eq3&tn5,maxc3,182,132,0.7253,89,58,0.6517,93,74,0.7957,False
tn8,maxc3,741,536,0.7233,355,237,0.6676,386,299,0.7746,False
tn5&tn8,maxc3,741,536,0.7233,355,237,0.6676,386,299,0.7746,False
tn8&mid,maxc3,644,464,0.7205,299,199,0.6656,345,265,0.7681,False
ge4&absent,maxc3,100,72,0.7200,66,45,0.6818,34,27,0.7941,False
