date,H,H_prev,n_zt,n_leaders,leaders,closed,has_ohlc,has_ths,has_zha,leader_absent,leader_any_absent,n_absent_leaders,n_sealed_leaders,n_zha_leaders,n_halt_expost,height_drop,height_up,height_new_high,leader_baoliang,prev_leader_baoliang,broken_themes,theme_alive,theme_dead
2025-10-09,4,,86,1,002759,True,True,True,True,False,False,0,0,0,0,False,False,False,False,False,,False,False
2025-10-10,3,4,56,1,603011,True,True,True,True,True,True,1,0,0,0,True,False,False,False,False,固态电池,False,True
2025-10-13,4,3,58,1,603011,True,True,True,True,False,False,0,1,0,0,False,True,False,True,False,,False,False
2025-10-14,4,4,37,2,000969 600078,True,True,True,True,True,True,1,0,1,0,False,False,False,True,True,可控核聚变,False,True
2025-10-15,3,4,65,1,605188,True,True,True,True,True,True,2,0,1,0,True,False,False,False,True,稀土永磁|固态电池,False,False
2025-10-16,3,3,40,4,000626 002370 002942 600403,True,True,True,True,True,True,1,0,0,0,False,False,False,True,False,零售,False,True
2025-10-17,4,3,37,2,000626 600403,True,True,True,True,False,True,2,2,0,0,False,True,False,False,True,实控人变更|化工,False,False
2025-10-20,5,4,75,2,000626 600403,True,True,True,True,False,False,0,2,0,0,False,True,True,False,False,,False,False
2025-10-21,6,5,76,1,600403,True,True,True,True,False,True,1,1,0,0,False,True,True,True,False,食品饮料,False,False
2025-10-22,7,6,56,1,600403,True,True,True,True,False,False,0,1,0,0,False,True,True,False,True,,False,False
2025-10-23,8,7,58,1,600403,True,True,True,True,False,False,0,1,0,0,False,True,True,False,False,,False,False
2025-10-24,5,8,57,1,000620,True,True,True,True,True,True,1,0,0,0,True,False,False,False,False,煤炭,False,True
2025-10-27,6,5,50,1,000620,True,True,True,True,False,False,0,1,0,0,False,True,False,False,False,,False,False
2025-10-28,7,6,57,1,000620,True,True,True,True,False,False,0,1,0,0,False,True,False,True,False,,False,False
2025-10-29,6,7,56,1,605178,True,True,True,True,True,True,1,0,0,0,True,False,False,True,True,存储,False,True
2025-10-30,7,6,46,1,605178,True,True,True,True,False,False,0,1,0,0,False,True,False,True,True,,False,False
2025-10-31,8,7,57,1,605178,True,True,True,True,False,False,0,1,0,0,False,True,False,True,True,,False,False
2025-11-03,5,8,66,1,603122,True,True,True,True,True,True,1,0,0,0,True,False,False,False,True,并购重组,True,False
2025-11-04,6,5,50,1,603122,True,True,True,True,False,False,0,1,0,0,False,True,False,False,False,,False,False
2025-11-05,7,6,66,1,603122,True,True,True,True,False,False,0,1,0,0,False,True,False,False,False,,False,False
2025-11-06,8,7,62,1,603122,True,True,True,True,False,False,0,1,0,0,False,True,False,True,False,,False,False
2025-11-07,9,8,53,1,603122,True,True,True,True,False,False,0,1,0,0,False,True,True,False,True,,False,False
2025-11-10,5,9,71,1,002451,True,True,True,True,True,True,1,0,1,0,True,False,False,True,False,医药,True,False
2025-11-11,6,5,66,1,002451,True,True,True,True,False,False,0,1,0,0,False,True,False,False,True,,False,False
2025-11-12,7,6,58,1,002451,True,True,True,True,False,False,0,1,0,0,False,True,False,False,False,,False,False
2025-11-13,8,7,85,1,002451,True,True,True,True,False,False,0,1,0,0,False,True,False,False,False,,False,False
2025-11-14,7,8,70,1,002083,True,True,True,True,True,True,1,0,0,0,True,False,False,False,False,智能电网,False,False
2025-11-17,8,7,85,1,002083,True,True,True,True,False,False,0,1,0,0,False,True,False,False,False,,False,False
2025-11-18,6,8,45,1,000407,True,True,True,True,True,True,1,0,0,0,True,False,False,True,False,锂电池,False,False
2025-11-19,6,6,54,2,003041 601566,True,True,True,True,True,True,1,0,0,0,False,False,False,True,True,并购重组,False,False
2025-11-20,7,6,41,1,601566,True,True,True,True,False,True,1,1,0,0,False,True,False,False,True,实控人变更,False,True
2025-11-21,6,7,28,1,000798,True,True,True,True,True,True,1,0,0,0,True,False,False,False,False,海峡两岸,True,False
2025-11-24,7,6,66,1,000798,True,True,True,True,False,False,0,1,0,0,False,True,False,False,False,,False,False
2025-11-25,5,7,77,1,603216,True,True,True,True,True,True,1,0,0,0,True,False,False,False,False,水产品,False,True
2025-11-26,5,5,68,1,600734,True,True,True,True,True,True,1,0,0,0,False,False,False,False,False,地产链,False,True
2025-11-27,4,5,53,2,000952 003018,True,True,True,True,True,True,1,0,0,0,True,False,False,True,False,人工智能,False,False
2025-11-28,5,4,70,1,003018,True,True,True,True,False,True,1,1,0,0,False,True,False,False,True,流感,False,True
2025-12-01,6,5,63,1,003018,True,True,True,True,False,False,0,1,0,0,False,True,False,True,False,,False,False
2025-12-02,7,6,47,1,003018,True,True,True,True,False,False,0,1,0,0,False,True,False,False,True,,False,False
2025-12-03,6,7,48,2,000078 002702,True,True,True,True,True,True,1,0,1,0,True,False,False,False,False,通信,True,False
2025-12-04,4,6,38,1,002348,True,True,True,True,True,True,2,0,1,0,True,False,False,False,False,医药|食品饮料,True,False
2025-12-05,4,4,73,2,002300 603696,True,True,True,True,True,True,1,0,0,0,False,False,False,True,False,实控人变更,False,False
2025-12-08,5,4,74,1,603696,True,True,True,True,False,True,1,1,0,0,False,True,False,False,True,海峡两岸,True,False
2025-12-09,6,5,53,1,603696,True,True,True,True,False,False,0,1,0,0,False,True,False,True,False,,False,False
2025-12-10,6,6,56,1,002682,True,True,True,True,True,True,1,0,1,0,False,False,False,True,True,食品饮料,False,True
2025-12-11,5,6,32,1,600693,True,True,True,True,True,True,1,0,0,0,True,False,False,True,True,海峡两岸,False,True
2025-12-12,5,5,77,1,603601,True,True,True,True,True,True,1,0,0,0,False,False,False,True,True,零售,False,False
2025-12-15,6,5,57,1,603601,True,True,True,True,False,False,0,1,0,0,False,True,False,False,True,,False,False
2025-12-16,4,6,40,3,000890 001208 600865,True,True,True,True,True,True,1,0,0,0,True,False,False,True,False,商业航天,True,False
2025-12-17,5,4,49,1,600865,True,True,True,True,False,True,2,1,1,0,False,True,False,True,True,通信|商业航天,True,False
2025-12-18,6,5,59,1,600865,True,True,True,True,False,False,0,1,0,0,False,True,False,False,True,,False,False
2025-12-19,6,6,70,1,001331,True,True,True,True,True,True,1,0,0,0,False,False,False,False,False,零售,True,False
2025-12-22,7,6,79,1,001331,True,True,True,True,False,False,0,1,0,0,False,True,False,False,False,,False,False
2025-12-23,8,7,54,1,001331,True,True,True,True,False,False,0,1,0,0,False,True,True,True,False,,False,False
2025-12-24,9,8,75,1,001331,True,True,True,True,False,False,0,1,0,0,False,True,True,True,True,,False,False
2025-12-25,10,9,78,1,001331,True,True,True,True,False,False,0,1,0,0,False,True,True,False,True,,False,False
2025-12-26,11,10,81,1,001331,True,True,True,True,False,False,0,1,0,0,False,True,True,True,False,,False,False
2025-12-29,12,11,72,1,001331,True,True,True,True,False,False,0,1,0,0,False,True,True,False,True,,False,False
2025-12-30,10,12,53,1,002969,True,True,True,True,True,True,1,0,0,1,True,False,False,False,False,机器人概念,True,False
