signal_date,outcome_date,code,name,boards,zt_next,zha_next,zha_change_rate
2025-11-17,2025-11-18,000592,平潭发展,3,False,False,
2025-12-29,2025-12-30,001331,胜通能源,12,False,False,
2025-12-30,2025-12-31,605255,天普股份,2,False,False,
2026-01-06,2026-01-07,603778,国晟科技,2,False,False,
2026-01-12,2026-01-13,300986,志特新材,6,False,False,
2026-01-13,2026-01-14,002931,锋龙股份,13,False,False,
2026-01-15,2026-01-16,603056,德邦股份,2,True,False,
2026-01-16,2026-01-19,603056,德邦股份,3,False,False,
2026-01-23,2026-01-26,002931,锋龙股份,18,False,False,
2026-04-27,2026-04-28,603272,联翔股份,2,False,False,
2026-04-28,2026-04-29,002175,东方智造,2,False,False,
2026-07-09,2026-07-10,002677,浙江美大,2,False,False,
2026-07-31,2026-08-03,603221,爱丽家居,9,False,False,
