rule,date,code,name,theme,boards,H,tn,seal,oc,board_type,px_t,close1,close2,close3,maxc3,hold_close
A_board3_tn8_intact,2025-10-20,603933,睿能科技,芯片,3,5,8,0.013152,2,T字板,21.98,21.24,23.37,21.03,True,False
A_board3_tn8_intact,2025-10-22,600172,黄河旋风,国有企业,3,7,11,0.019547,1,换手板,7.72,7.73,6.96,7.01,True,True
A_board3_tn8_intact,2025-11-04,000592,平潭发展,福建,3,6,17,0.016902,4,换手板,8.57,9.43,8.49,8.9,True,True
A_board3_tn8_intact,2025-11-05,002885,京泉华,智能电网,3,7,19,0.013129,1,换手板,32.25,33.93,35.93,33.62,True,True
A_board3_tn8_intact,2025-11-17,001203,大中矿业,锂电池,3,8,14,0.003159,4,换手板,30.89,30.62,32.09,34.37,True,False
A_board3_tn8_intact,2025-11-24,600734,实达集团,人工智能,3,7,15,0.018119,6,T字板,5.08,5.59,6.15,5.54,True,True
A_board3_tn8_intact,2025-12-08,605299,舒华体育,海峡两岸,3,5,18,0.010339,0,换手板,14.25,15.48,15.0,13.48,True,True
A_board3_tn8_intact,2025-12-09,000905,厦门港务,海峡两岸,3,6,11,0.010569,3,换手板,14.52,15.9,15.13,13.81,True,True
A_board3_tn8_intact,2025-12-24,002228,合兴包装,海峡两岸,3,9,10,0.014026,1,换手板,5.95,6.39,6.17,5.54,True,True
A_board3_tn8_intact,2025-12-26,603278,大业股份,商业航天,3,11,20,0.019397,2,T字板,12.8,14.08,15.49,17.04,True,True
A_board3_tn8_intact,2025-12-29,002347,泰尔股份,机器人概念,3,12,11,0.013887,9,换手板,10.23,11.25,12.38,13.14,True,True
A_board3_tn8_intact,2026-01-05,002757,南兴股份,人工智能,3,7,10,0.020164,2,换手板,21.42,23.36,21.41,23.57,True,True
A_board3_tn8_intact,2026-01-06,002151,北斗星通,商业航天,3,13,15,0.013969,1,换手板,54.97,57.7,59.69,60.82,True,True
A_board3_tn8_intact,2026-01-09,600637,东方明珠,人工智能,3,11,30,0.006704,5,T字板,13.32,14.52,15.26,14.73,True,True
A_board3_tn8_intact,2026-01-12,603017,中衡设计,商业航天,3,12,43,0.018776,0,换手板,14.63,13.02,12.26,11.91,False,False
A_board3_tn8_intact,2026-01-13,603598,引力传媒,人工智能,3,13,31,0.015954,2,T字板,31.37,32.4,31.51,28.36,True,True
A_board3_tn8_intact,2026-01-23,002342,巨力索具,商业航天,3,18,17,0.021299,0,换手板,13.54,13.7,13.2,14.52,True,True
