definition,filters,n,wins,rate,half1,half2,notes
promote,one_price_today & boards_ge5 & NOT href_le1,17,15,0.8824,13/15=86.7%,2/2=100.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=73% | checkpoint_n<30 | yizi_today=100.0% | yizi_next_all=64.7% | height{5:7;6:4;7:2;8:2;9:2} | themes=8 | dates=15
promote,one_price_today & NOT is_new_high & boards_ge5,21,18,0.8571,15/18=83.3%,3/3=100.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=67% | checkpoint_n<30 | yizi_today=100.0% | yizi_next_all=57.1% | height{5:11;6:4;7:2;8:2;9:2} | themes=11 | dates=19
promote,NOT leader_absent & one_price_today & NOT theme_alive_own,39,31,0.7949,14/18=77.8%,17/21=81.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=58% | yizi_today=100.0% | yizi_next_all=46.2% | height{2:18;3:14;4:3;5:1;6:2;7:1} | themes=17 | dates=34
promote,to_lo & one_price_today & boards_ge5,56,44,0.7857,32/40=80.0%,12/16=75.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=73% | yizi_today=100.0% | yizi_next_all=57.1% | height{5:23;6:11;7:8;8:4;9:2;10:2;11:1;12:1;13:1;14:1;15:1;17:1} | themes=19 | dates=49
promote,one_price_today & boards_ge5 & NOT own_baoliang,45,35,0.7778,24/31=77.4%,11/14=78.6%,yizi_today=100%_not_buyable | wins_are_yizi_next=63% | yizi_today=100.0% | yizi_next_all=48.9% | height{5:20;6:9;7:7;8:3;10:2;11:1;12:1;14:1;15:1} | themes=17 | dates=39
promote,one_price_today & NOT is_new_high & own_baoliang,31,24,0.7742,16/21=76.2%,8/10=80.0%,yizi_today=100%_not_buyable | wins_are_yizi_next=67% | yizi_today=100.0% | yizi_next_all=51.6% | height{3:20;4:5;5:4;9:2} | themes=13 | dates=29
promote,one_price_today & boards_ge5 & NOT is_fanbao,65,50,0.7692,38/48=79.2%,12/17=70.6%,yizi_today=100%_not_buyable | wins_are_yizi_next=68% | yizi_today=100.0% | yizi_next_all=52.3% | height{5:23;6:13;7:9;8:5;9:4;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=18 | dates=54
promote,boards_ge5 & NOT opened & NOT href_le1,26,20,0.7692,18/24=75.0%,2/2=100.0%,yizi_today=65%_not_buyable | wins_are_yizi_next=60% | checkpoint_n<30 | yizi_today=65.4% | yizi_next_all=46.2% | height{5:15;6:5;7:2;8:2;9:2} | themes=13 | dates=17
promote,one_price_today & boards_ge5,67,51,0.7612,38/48=79.2%,13/19=68.4%,yizi_today=100%_not_buyable | wins_are_yizi_next=69% | yizi_today=100.0% | yizi_next_all=52.2% | height{5:25;6:13;7:9;8:5;9:4;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=19 | dates=56
promote,one_price_today & unopened & boards_ge5,67,51,0.7612,38/48=79.2%,13/19=68.4%,yizi_today=100%_not_buyable | wins_are_yizi_next=69% | yizi_today=100.0% | yizi_next_all=52.2% | height{5:25;6:13;7:9;8:5;9:4;10:3;11:1;12:1;13:1;14:2;15:1;16:1;17:1} | themes=19 | dates=56
