family,filters,outcome,n,wins,rate,h1_n,h1_w,h1,h2_n,h2_w,h2,claim
squeeze_base,ge4_seal02_tn5+base,maxc3,46,38,0.8261,28,23,0.8214,18,15,0.8333,False
squeeze_base,ge4_seal02_tn5+base,hold_close,46,36,0.7826,28,23,0.8214,18,13,0.7222,False
squeeze_base,ge4_seal02_tn5+base,hold_flat,46,36,0.7826,28,23,0.8214,18,13,0.7222,False
squeeze_base,ge4_seal02_tn5+base,hold_touch3,46,36,0.7826,28,22,0.7857,18,14,0.7778,False
squeeze_base,ge4_seal02_tn5+base,open_up,41,15,0.3659,26,8,0.3077,15,7,0.4667,False
squeeze_base,ge4_seal02_tn5+base,open_flat,41,27,0.6585,26,16,0.6154,15,11,0.7333,False
squeeze_base,ge4_seal02_tn5+base,touch3,41,31,0.7561,26,20,0.7692,15,11,0.7333,False
squeeze_base,ge4_seal02_tn5+base,hold_3d,44,28,0.6364,27,16,0.5926,17,12,0.7059,False
squeeze_base,ge4_seal02_tn5+intact,maxc3,28,22,0.7857,16,12,0.7500,12,10,0.8333,False
squeeze_base,ge4_seal02_tn5+intact,hold_close,28,20,0.7143,16,12,0.7500,12,8,0.6667,False
squeeze_base,ge4_seal02_tn5+intact,hold_flat,28,20,0.7143,16,12,0.7500,12,8,0.6667,False
squeeze_base,ge4_seal02_tn5+intact,hold_touch3,28,21,0.7500,16,12,0.7500,12,9,0.7500,False
squeeze_base,ge4_seal02_tn5+intact,open_up,26,9,0.3462,15,4,0.2667,11,5,0.4545,False
squeeze_base,ge4_seal02_tn5+intact,open_flat,26,17,0.6538,15,9,0.6000,11,8,0.7273,False
squeeze_base,ge4_seal02_tn5+intact,touch3,26,19,0.7308,15,11,0.7333,11,8,0.7273,False
squeeze_base,ge4_seal02_tn5+intact,hold_3d,27,18,0.6667,16,9,0.5625,11,9,0.8182,False
squeeze_base,ge4_seal02_tn5+absent,maxc3,18,16,0.8889,12,11,0.9167,6,5,0.8333,False
squeeze_base,ge4_seal02_tn5+absent,hold_close,18,16,0.8889,12,11,0.9167,6,5,0.8333,False
squeeze_base,ge4_seal02_tn5+absent,hold_flat,18,16,0.8889,12,11,0.9167,6,5,0.8333,False
squeeze_base,ge4_seal02_tn5+absent,hold_touch3,18,15,0.8333,12,10,0.8333,6,5,0.8333,False
squeeze_base,ge4_seal02_tn5+absent,open_up,15,6,0.4000,11,4,0.3636,4,2,0.5000,False
squeeze_base,ge4_seal02_tn5+absent,open_flat,15,10,0.6667,11,7,0.6364,4,3,0.7500,False
squeeze_base,ge4_seal02_tn5+absent,touch3,15,12,0.8000,11,9,0.8182,4,3,0.7500,False
squeeze_base,ge4_seal02_tn5+absent,hold_3d,17,10,0.5882,11,7,0.6364,6,3,0.5000,False
squeeze_base,ge4_seal02_tn5+drop,maxc3,14,14,1.0000,10,10,1.0000,4,4,1.0000,False
squeeze_base,ge4_seal02_tn5+drop,hold_close,14,14,1.0000,10,10,1.0000,4,4,1.0000,False
squeeze_base,ge4_seal02_tn5+drop,hold_flat,14,14,1.0000,10,10,1.0000,4,4,1.0000,False
squeeze_base,ge4_seal02_tn5+drop,hold_touch3,14,11,0.7857,10,8,0.8000,4,3,0.7500,False
squeeze_base,ge4_seal02_tn5+drop,open_up,12,6,0.5000,9,4,0.4444,3,2,0.6667,False
squeeze_base,ge4_seal02_tn5+drop,open_flat,12,9,0.7500,9,6,0.6667,3,3,1.0000,False
squeeze_base,ge4_seal02_tn5+drop,touch3,12,9,0.7500,9,7,0.7778,3,2,0.6667,False
squeeze_base,ge4_seal02_tn5+drop,hold_3d,13,8,0.6154,9,6,0.6667,4,2,0.5000,False
squeeze_base,ge4_seal02_tn5+not_drop,maxc3,32,24,0.7500,18,13,0.7222,14,11,0.7857,False
squeeze_base,ge4_seal02_tn5+not_drop,hold_close,32,22,0.6875,18,13,0.7222,14,9,0.6429,False
squeeze_base,ge4_seal02_tn5+not_drop,hold_flat,32,22,0.6875,18,13,0.7222,14,9,0.6429,False
squeeze_base,ge4_seal02_tn5+not_drop,hold_touch3,32,25,0.7812,18,14,0.7778,14,11,0.7857,False
squeeze_base,ge4_seal02_tn5+not_drop,open_up,29,9,0.3103,17,4,0.2353,12,5,0.4167,False
squeeze_base,ge4_seal02_tn5+not_drop,open_flat,29,18,0.6207,17,10,0.5882,12,8,0.6667,False
squeeze_base,ge4_seal02_tn5+not_drop,touch3,29,22,0.7586,17,13,0.7647,12,9,0.7500,False
squeeze_base,ge4_seal02_tn5+not_drop,hold_3d,31,20,0.6452,18,10,0.5556,13,10,0.7692,False
squeeze_base,ge4_seal02_tn5+same_break,maxc3,2,2,1.0000,1,1,1.0000,1,1,1.0000,False
squeeze_base,ge4_seal02_tn5+same_break,hold_close,2,1,0.5000,1,1,1.0000,1,0,0.0000,False
squeeze_base,ge4_seal02_tn5+same_break,hold_flat,2,1,0.5000,1,1,1.0000,1,0,0.0000,False
squeeze_base,ge4_seal02_tn5+same_break,hold_touch3,2,1,0.5000,1,1,1.0000,1,0,0.0000,False
squeeze_base,ge4_seal02_tn5+same_break,open_up,2,1,0.5000,1,1,1.0000,1,0,0.0000,False
squeeze_base,ge4_seal02_tn5+same_break,open_flat,2,1,0.5000,1,1,1.0000,1,0,0.0000,False
squeeze_base,ge4_seal02_tn5+same_break,touch3,2,1,0.5000,1,1,1.0000,1,0,0.0000,False
squeeze_base,ge4_seal02_tn5+same_break,hold_3d,2,2,1.0000,1,1,1.0000,1,1,1.0000,False
squeeze_base,ge4_seal02_tn5+not_same,maxc3,44,36,0.8182,27,22,0.8148,17,14,0.8235,False
squeeze_base,ge4_seal02_tn5+not_same,hold_close,44,35,0.7955,27,22,0.8148,17,13,0.7647,False
squeeze_base,ge4_seal02_tn5+not_same,hold_flat,44,35,0.7955,27,22,0.8148,17,13,0.7647,False
squeeze_base,ge4_seal02_tn5+not_same,hold_touch3,44,35,0.7955,27,21,0.7778,17,14,0.8235,False
squeeze_base,ge4_seal02_tn5+not_same,open_up,39,14,0.3590,25,7,0.2800,14,7,0.5000,False
squeeze_base,ge4_seal02_tn5+not_same,open_flat,39,26,0.6667,25,15,0.6000,14,11,0.7857,False
