rule,n,wins,rate,h1_n,h1_w,h1,h2_n,h2_w,h2
theme_n>=2 and next>=1,2478,1577,0.6364,1188,726,0.6111,1290,851,0.6597
theme_n>=3 and next>=1,1511,1101,0.7287,721,518,0.7184,790,583,0.7380
theme_n>=3 and next>=2,1511,881,0.5831,721,412,0.5714,790,469,0.5937
theme_n>=4 and next>=1,1051,826,0.7859,483,372,0.7702,568,454,0.7993
theme_n>=4 and next>=2,1051,686,0.6527,483,307,0.6356,568,379,0.6673
theme_n>=5 and next>=1,789,647,0.8200,363,289,0.7961,426,358,0.8404
theme_n>=5 and next>=2,789,559,0.7085,363,251,0.6915,426,308,0.7230
theme_n>=5 and next>=3,789,458,0.5805,363,195,0.5372,426,263,0.6174
theme_n>=6 and next>=1,591,502,0.8494,265,218,0.8226,326,284,0.8712
theme_n>=8 and next>=1,381,346,0.9081,166,150,0.9036,215,196,0.9116
theme_n>=8 and next>=2,381,318,0.8346,166,137,0.8253,215,181,0.8419
theme_n>=10 and next>=1,258,244,0.9457,115,108,0.9391,143,136,0.9510
theme_n>=10 and next>=2,258,226,0.8760,115,98,0.8522,143,128,0.8951
theme_n>=12 and next>=1,190,182,0.9579,82,79,0.9634,108,103,0.9537
theme_n>=15 and next>=1,129,126,0.9767,55,54,0.9818,74,72,0.9730
